date,close,open,high,low,volume,NASDAQ,NYSE,SP500,FTSE100,NIKKEI225,BSE,RUSSELL2000,HENG SENG,SSE,Oil,gold,VIX,Dollar,AMAZON,Google,microsoft,Sentiment
2012-08-09,21.01,20.75,21.17,20.61,15620000.0,3018.6,8025.0,1402.8,5851.51,8978.6,17560.87,802.9,20269.47,2174.1,93.36,157.44,15.28,82.64,234.06,321.49,30.5,
2012-08-10,21.81,21.41,21.82,21.13,25790000.0,3020.9,8044.8,1405.87,5847.11,8891.44,17557.74,801.55,20136.12,2168.81,92.87,158.37,14.74,82.55,232.75,321.31,30.42,0.3551922277547419
2012-08-13,21.6,22.15,22.45,21.4,24970000.0,3022.5,8018.6,1404.11,5831.88,8885.15,17633.45,799.49,20081.36,2136.08,92.73,156.05,13.7,82.44,232.44,330.33,30.39,-0.9126322269439696
2012-08-14,20.38,21.41,21.6,20.25,39310000.0,3017.0,8019.5,1403.93,5864.78,8929.88,17728.2,796.88,20291.68,2142.52,93.43,154.99,14.85,82.48,233.19,334.65,30.13,-0.11422301332155865
2012-08-15,21.2,20.64,21.41,20.4,47860000.0,3030.9,8029.0,1405.53,5833.04,8925.04,,804.26,20052.29,2118.94,94.33,155.62,14.63,82.64,237.42,334.09,30.2,-0.1038155121107896
2012-08-16,19.87,20.44,20.48,19.69,157550000.0,3062.4,8090.0,1415.51,5834.51,9092.76,17657.21,813.08,19962.95,2112.2,95.6,160.65,14.29,82.36,241.55,336.76,30.78,-0.4180395184084773
2012-08-17,19.05,20.0,20.08,19.0,129289999.99999999,3076.6,8102.1,1418.16,5852.42,9162.5,17691.08,819.89,20116.07,2114.89,96.01,160.01,13.45,82.6,241.17,338.9,30.9,-0.018907718360424042
2012-08-20,20.01,19.05,20.13,18.75,101190000.0,3076.2,8094.3,1418.13,5824.37,9171.16,,816.51,20104.27,2106.96,95.97,161.05,14.02,82.46,240.35,338.1,30.74,0.5440605827607214
2012-08-21,19.16,19.58,19.98,19.09,70640000.0,3067.3,8082.7,1413.17,5857.52,9156.92,17885.26,815.36,20100.09,2118.27,96.68,164.36,15.02,81.91,239.45,335.08,30.8,0.0996675342321396
2012-08-22,19.44,19.36,19.53,18.96,49890000.0,3073.7,8074.2,1413.49,5774.2,9131.74,17846.86,812.56,19887.78,2107.71,97.26,168.05,15.11,81.49,243.1,338.92,30.54,0.4230847656726837
