,Article_Date,Sentiment_Score
151,2012-09-06,-0.029607515782117844
152,2012-09-07,-0.09906522929668427
153,2012-09-11,-0.3194401543587446
154,2012-09-12,0.40345853567123413
155,2012-09-13,-0.5981483459472656
156,2012-09-14,0.2240244746208191
157,2012-09-17,0.16876083612442017
158,2012-09-18,0.20955602824687958
159,2012-09-19,0.9234653115272522
160,2012-09-20,0.5788653492927551
161,2012-09-21,0.10203567147254944
162,2012-09-22,0.21969130635261536
163,2012-09-24,-0.1725264847278595
164,2012-09-26,-0.5335935950279236
165,2012-09-27,-0.4504583366215229
166,2012-09-28,0.8870049715042114
167,2012-10-01,0.4081173315644264
168,2012-10-03,-0.3142533004283905
169,2012-10-04,0.33752335980534554
170,2012-10-05,-0.46183830002943677
171,2012-10-06,-0.15328539907932281
